id,title,start_date,end_date,mean,rank,popularity,num_scoring_users,media_type,genres,num_episodes,year,season,day_of_the_week,start_time,source,average_episode_duration,watching,completed,on_hold,dropped,plan_to_watch
38731,Diamond no Ace: Act II,2019-04-02,2020-03-31,8.23,271,2194,19897,tv,Comedy+Sports+School+Shounen,52,2019,spring,tuesday,17:55,manga,1440,11949,22640,1808,1007,12351
37804,Shirobako Movie,2020-02-29,2020-02-29,7.45,1746,2980,372,movie,Comedy+Drama,1,2020,winter,,,original,7200,528,559,419,65,26694
40230,Housekishou Richard-shi no Nazo Kantei,2020-01-09,2020-03-26,7.16,2935,2575,12153,tv,Drama+Mystery+Slice of Life,12,2020,winter,thursday,23:30,novel,1420,4274,14941,1310,3051,13720
40351,Pokemon (2019),2019-11-17,,7.33,2209,2614,9828,tv,Action+Adventure+Comedy+Kids+Fantasy,0,2019,fall,friday,18:55,game,1415,20711,3,3280,2794,9250
37890,Oshi ga Budoukan Ittekuretara Shinu,2020-01-10,2020-03-27,7.46,1684,3123,10507,tv,Comedy+Music+Seinen+Shoujo Ai+Slice of Life,12,2020,winter,friday,01:28,manga,1460,2805,12527,691,1510,8558
38088,Digimon Adventure: Last Evolution Kizuna,2020-02-21,2020-02-21,8.2,305,3449,4577,movie,Action+Adventure+Comedy+Drama,1,2020,winter,,,original,5640,570,6408,183,114,14110
40602,7 Seeds 2nd Season,2020-03-26,2020-03-26,7.2,2757,3140,13259,ona,Sci-Fi+Adventure+Mystery+Psychological+Drama+Romance+Shoujo,12,2020,winter,,,manga,1465,1070,17746,362,373,6607
37140,Gegege no Kitarou (2018),2018-04-01,2020-03-29,7.25,2550,2509,3589,tv,Comedy+Demons+Supernatural+Shounen,97,2018,spring,sunday,09:00,manga,1402,9336,2628,3899,7085,15964
41094,Xian Wang de Richang Shenghuo,2020-01-18,2020-03-28,7.17,2894,2392,14731,ona,Adventure+Slice of Life+Comedy+Demons+Fantasy+School,15,2020,winter,,,light_novel,1131,6433,19744,951,1607,15150
38476,Heya Camp△,2020-01-06,2020-03-23,7.16,2933,1955,22074,tv,Slice of Life+Comedy,12,2020,winter,monday,20:55,manga,210,6038,28447,1394,1758,21634
39355,Radiant 2nd Season,2019-10-02,2020-02-26,7.65,1151,1907,21547,tv,Action+Adventure+Magic+Fantasy,21,2019,fall,wednesday,19:25,other,1470,8445,29545,1552,1430,20589
966,Crayon Shin-chan,1992-04-13,,7.69,1040,2065,26501,tv,Slice of Life+Comedy+Ecchi+School+Seinen,0,1992,spring,friday,19:30,manga,1260,19990,20,12082,12582,9425
33191,Kishibe Rohan wa Ugokanai,2017-09-20,2020-03-25,7.55,1416,2340,20066,ova,Action+Mystery+Supernatural+Shounen,4,2017,summer,,,manga,1420,9114,15940,3556,638,15489
40858,Psycho-Pass 3: First Inspector,2020-03-27,2020-03-27,7.89,677,2342,16298,movie,Action+Sci-Fi+Police+Psychological,3,2020,winter,,,original,2760,1554,22451,550,199,19993
40841,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,2020-03-10,2020-03-10,7.49,1604,3494,11162,ova,Fantasy+Slice of Life,1,2020,winter,,,light_novel,1440,345,15866,80,52,4512
37870,BanG Dream! 3rd Season,2020-01-23,2020-04-23,8.07,444,3691,6861,tv,Music,13,2020,winter,thursday,23:00,original,1430,1617,8371,376,346,7880
21,One Piece,1999-10-20,,8.49,102,30,684839,tv,Action+Adventure+Comedy+Super Power+Drama+Fantasy+Shounen,0,1999,fall,sunday,09:30,manga,1440,798570,81,171451,127237,124308
40331,Ongaku,2020-01-11,2020-01-11,7.25,2561,8334,319,movie,Music+Slice of Life,1,2020,winter,,,manga,4260,55,410,27,32,1813
6149,Chibi Maruko-chan (1995),1995-01-08,,7.21,2693,7755,952,tv,Slice of Life+Comedy+Kids+School,0,1995,winter,sunday,18:00,manga,1380,927,1,431,588,924
41195,Kokoro Yohou,2020-01-30,2020-01-30,7.54,1478,8955,1171,music,Music+Romance,1,2020,winter,,,original,223,49,1593,3,15,153
41164,Ruru-chan no Jisatsu Haishin,2020-01-08,2020-01-08,7.14,3001,11227,424,music,Music,1,2020,winter,,,original,241,8,616,2,4,56
40991,Xue Ying Ling Zhu 2nd Season,2020-01-02,2020-01-23,7.2,2756,10929,234,ona,Action+Adventure+Historical+Romance+Martial Arts+Fantasy,4,2020,winter,,,novel,0,83,356,15,40,267
41132,Tokyo Autumn Session,2020-01-24,2020-01-24,7.59,1313,7201,1552,music,Music,1,2020,winter,,,music,338,188,2165,32,30,1215
40656,Girls & Panzer: Taiyaki War!,2020-02-27,2020-02-27,7.13,3049,6785,1156,special,Military+Comedy+School,1,2020,winter,,,original,649,125,1742,74,41,2230
