,genre,popularity
0,action,921.4
1,action,783.8
2,action,481.9
3,action,437.2
4,action,395.7
5,action,389.6
6,action,389.3
7,action,381.2
8,action,346.8
9,action,332.7
10,action,318.6
11,action,303.0
12,action,295.1
13,action,294.8
14,action,291.5
15,action,287.0
16,action,275.6
17,action,269.9
18,action,268.4
19,action,256.9
20,time travel,750.9
21,time travel,616.5
22,time travel,616.3
23,time travel,560.1
24,time travel,540.9
25,time travel,510.7
26,time travel,486.8
27,time travel,486.4
28,time travel,474.1
29,time travel,472.3
30,time travel,469.6
31,time travel,460.2
32,time travel,437.2
33,time travel,428.9
34,time travel,427.8
35,time travel,382.6
36,time travel,355.1
37,time travel,328.1
38,time travel,283.1
39,time travel,272.3
40,fantasy,750.9
41,fantasy,626.0
42,fantasy,616.3
43,fantasy,598.2
44,fantasy,560.1
45,fantasy,540.9
46,fantasy,488.4
47,fantasy,486.8
48,fantasy,486.4
49,fantasy,474.1
50,fantasy,472.3
51,fantasy,469.6
52,fantasy,460.2
53,fantasy,446.3
54,fantasy,437.2
55,fantasy,433.5
56,fantasy,428.9
57,fantasy,427.8
58,fantasy,393.5
59,fantasy,382.9
60,combat,921.4
61,combat,783.8
62,combat,711.2
63,combat,706.7
64,combat,626.0
65,combat,616.5
66,combat,616.3
67,combat,577.4
68,combat,510.7
69,combat,488.4
70,combat,486.4
71,combat,481.9
72,combat,474.1
73,combat,472.3
74,combat,446.3
75,combat,437.2
76,combat,435.0
77,combat,433.5
78,combat,428.9
79,combat,427.8
80,padory,711.2
81,padory,706.7
82,padory,691.7
83,padory,645.3
84,padory,632.9
85,padory,624.3
86,padory,505.6
87,padory,486.8
88,padory,477.6
89,padory,444.9
90,padory,427.8
91,padory,363.1
92,padory,346.8
93,padory,328.3
94,padory,325.0
95,padory,319.9
96,padory,296.1
97,padory,293.5
98,padory,279.3
99,padory,272.3
100,silence of life,711.2
101,silence of life,706.7
102,silence of life,632.9
103,silence of life,624.3
104,silence of life,514.7
105,silence of life,505.6
106,silence of life,486.8
107,silence of life,477.6
108,silence of life,444.9
109,silence of life,421.9
110,silence of life,388.2
111,silence of life,382.9
112,silence of life,373.8
113,silence of life,363.1
114,silence of life,355.9
115,silence of life,345.2
116,silence of life,312.8
117,silence of life,293.5
118,silence of life,277.1
119,silence of life,275.5
120,Sci-fi,616.5
121,Sci-fi,577.4
122,Sci-fi,510.7
123,Sci-fi,384.1
124,Sci-fi,328.1
125,Sci-fi,303.0
126,Sci-fi,298.3
127,Sci-fi,291.5
128,Sci-fi,275.6
129,Sci-fi,275.5
130,Sci-fi,268.4
131,Sci-fi,262.8
