,source,popularity
0,original,384.1
1,original,382.9
2,original,355.9
3,original,328.1
4,original,298.2
5,original,296.4
6,original,294.8
7,original,269.9
8,original,223.8
9,original,201.1
10,original,199.3
11,original,196.3
12,original,185.8
13,original,165.8
14,original,163.6
15,original,162.7
16,original,152.8
17,original,151.7
18,original,150.6
19,original,150.5
20,original,135.1
21,original,132.9
22,original,125.0
23,original,114.6
24,original,114.1
25,original,112.2
26,original,108.9
27,original,107.7
28,original,104.7
29,original,104.3
30,original,104.0
31,original,98.0
32,original,91.3
33,original,89.1
34,original,83.1
35,original,82.9
36,original,80.8
37,original,76.8
38,original,76.6
39,original,70.3
40,original,62.4
41,original,61.6
42,original,60.7
43,original,59.9
44,original,59.5
45,original,58.4
46,original,53.7
47,original,55.3
48,original,52.9
49,original,51.5
50,original,50.0
51,original,49.2
52,original,48.5
53,original,47.3
54,original,46.1
55,original,45.9
56,original,45.4
57,original,44.6
58,original,44.2
59,original,43.6
60,original,43.0
61,original,42.8
62,original,42.4
63,original,41.3
64,original,40.3
65,original,40.3
66,original,39.7
67,original,38.9
68,original,36.3
69,original,35.5
70,original,33.9
71,original,32.9
72,original,32.1
73,original,31.9
74,original,31.6
75,original,31.2
76,original,30.1
77,original,30.1
78,original,29.1
79,original,27.5
80,original,27.4
81,original,26.9
82,original,25.9
83,original,25.1
84,original,24.7
85,original,24.3
86,original,23.9
87,original,23.6
88,original,21.9
89,original,21.6
90,original,20.7
91,original,19.6
92,original,18.1
93,original,17.9
94,original,17.8
95,original,17.1
96,original,16.2
97,original,15.4
98,original,14.4
99,original,14.2
100,manga sourced,921.4
101,manga sourced,783.8
102,manga sourced,711.1
103,manga sourced,706.7
104,manga sourced,691.7
105,manga sourced,632.9
106,manga sourced,624.3
107,manga sourced,577.4
108,manga sourced,481.7
109,manga sourced,477.6
110,manga sourced,446.3
111,manga sourced,444.9
112,manga sourced,433.4
113,manga sourced,395.7
114,manga sourced,388.2
115,manga sourced,375.8
116,manga sourced,369.3
117,manga sourced,364.0
118,manga sourced,363.1
119,manga sourced,346.8
120,manga sourced,346.3
121,manga sourced,345.2
122,manga sourced,328.3
123,manga sourced,319.9
